CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
60.64,0,14.02,0.03,1.63,5.14,0,0,81.43,81.34854167,0,0,0,0,0,0,0,0,0,0,0,0,67022.77,78143.38,449669.2,449895.4,6.4,0,0,7.57221651,0.793856182,2.048488535,7.722634464,0.230519193,0.48785491,0.399200466,0.316907758,0,573440,73093,1145838,678163,0,82,2.322916667,70.2,677732.2,214,1634,89.99,27.98,4.37E-14,default,mariadb_docker
61.14,0,14.08,0,1.7,5.4,0,0,82.32,82.24989583,0,0,0,0,0,0,0,0,0,0,0,0,69171.61,83017.31,477347.2,477357.2,6.8,0,0,7.468141851,0.880568698,1.907823344,7.087350988,0.209509624,0.448926431,0.346614085,0.305217513,0,573440,63683,1196424,713882,0,82,2.322916667,20.2,713813.4,214,1634,100.56,31.21,4.37E-14,default,mariadb_docker
61.48,0,14.28,0,1.73,5.47,0,0,82.96,82.89802083,0,0,0,0,0,0,0,0,0,0,0,0,70440.35,84686.75,486390.2,486392.8,6.94,0,0,7.487841676,0.868679083,1.940981941,7.22936683,0.213298011,0.457561382,0.352286789,0.306024165,0,573440,18194,1214468,728983,0,82,2.354166667,18.4,728789.6,211,1636,109.25,34.16,4.58E-14,default,mariadb_docker
62.13,0,14.36,0.01,1.78,5.62,0,0,83.89,83.82885417,0,0,0,0,0,0,0,0,0,0,0,0,71847.08,86407.76,496068.6,496092.6,7.08,0,0,7.623578445,0.855606712,1.97612783,7.375328066,0.215688175,0.461201326,0.358489585,0.306726095,0,573440,31456,1225821,761271,0,84,2.291666667,20.4,761327.8,214,1634,116.83,36.98,4.58E-14,default,mariadb_docker
59.05,0,13.73,0,1.73,5.39,0,0,79.9,79.84583333,0,0,0,0,0,0,0,0,0,0,0,0,68868.71,82856.25,475509.2,475570.8,6.79,0,0,7.34013586,0.847858552,2.005228759,7.494722481,0.218092234,0.465995567,0.359931598,0.305171083,0,573440,17229,1173460,730819,0,80,1.291666667,18,731095.4,102,1635,124.54,39.9,4.58E-14,default,mariadb_docker
51.03,0,12.41,0,1.51,4.79,0,0,69.74,69.68270833,0,0,0,0,0,0,0,0,0,0,0,0,59916.66,72026.64,413674,413677.4,5.9,0,0,6.862696513,0.840384079,2.042027165,7.645444862,0.21963238,0.470436339,0.35914403,0.301818924,0,573440,24755,1028170,652554,0,70,2.208333333,20.6,651837.6,211,1634,123.21,41.03,4.58E-14,default,mariadb_docker
56.48,0,13.37,0.01,1.64,5.23,0,0,76.72,76.68791667,0,0,0,0,0,0,0,0,0,0,0,0,66262.93,79627.55,457538,457546,6.52,0,0,7.240369529,0.832795201,2.05517956,7.700422789,0.221688578,0.47341476,0.367242195,0.305837537,0,573440,14970,1131990,712277,0,76,1.96875,18.2,712054.2,218,1634,131.44,44.1,4.58E-14,default,mariadb_docker
63.91,0,14.84,0.01,1.9,5.86,0,0,86.51,86.46802083,0,0,0,0,0,0,0,0,0,0,0,0,74454.25,89523.27,514097.6,514122.4,7.33,0,0,7.796793768,0.820190243,2.069226674,7.763760343,0.223899074,0.477219628,0.381479168,0.312885492,0,573440,14630,1262598,782592,0,87,2.25,18.2,782573,194,1633,137.49,46.81,4.58E-14,default,mariadb_docker
65.46,0,15.15,0.01,1.98,5.99,0,0,88.58,88.5571875,0,0,0,0,0,0,0,0,0,0,0,0,75514.62,90813.1,521393.2,521430.6,7.44,0,0,8.002792455,0.805478213,2.091825884,7.861051283,0.2254101,0.480920148,0.396029849,0.318993415,0,573440,16170,1272303,783631,0,88,2.197916667,18.2,783582,204,1633,143.06,49.47,4.79E-14,default,mariadb_docker
64.82,0,15.24,0.01,1.96,6,0,0,88.02,87.98770833,0,0,0,0,0,0,0,0,0,0,0,0,74939.75,90161.06,517367,517425.6,7.39,0,0,7.947321307,0.794758668,2.118051512,7.975382541,0.227593208,0.484812312,0.404309656,0.321328604,0,573440,24014,1258574,766601,0,88,1.166666667,18.2,767125.4,134,1633,148.58,52.16,4.79E-14,default,mariadb_docker
