CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.12,0.0,0.1,0.31,0.1,0.06,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.54,1.4,2.8,0.0,0.0,0.0,0.13236906666666667,0.5870000000000001,26.53,2.73,0.52,1.83,0.79,0.46,1,0,24,35181,6031,0,0,0,16.2,5936.0,2.0,2669.0,7.14,67.46,1.4592,default,hadoop_hdd
0.26,0.0,0.21,0.16,0.08,0.08,0.0,0.0,0.6299999999999999,0.0,0.0,1.4,0.0,0.01,0.0,0.0,0.0,4.0,0.0,13.86,1.04,0.02,2.37,2.11,8.2,10.4,0.0,0.0,0.0,0.3290794666666667,0.8079999999999999,23.43,2.43,0.17,1.64,0.52,0.42,0,0,17,35006,6051,0,0,0,47.2,6058.2,2.0,2676.0,6.73,66.38,1.5616,default,hadoop_hdd
0.11,0.0,0.04,0.02,0.1,0.08,0.0,0.0,0.33,0.0,19.2,0.0,0.07,0.0,0.0,0.0,4.0,0.0,0.16,0.0,0.32,0.01,24.04,24.91,203.2,205.0,0.0,0.0,0.0,0.13438976,0.526,21.4,2.97,0.35,1.08,0.94,0.5,0,0,33,35629,6741,0,0,0,60.0,6762.6,2.0,2677.0,6.27,65.29,1.5872000000000002,default,hadoop_hdd
0.05,0.0,0.06,0.01,0.09,0.07,0.0,0.0,0.27,0.0,0.0,0.6,0.0,0.09,0.0,97.3,0.0,148.0,0.0,34.67,1.04,0.02,18.95,21.54,176.0,176.8,0.0,0.0,0.0,0.11719338666666668,0.49,24.84,3.68,0.21,0.96,1.16,0.57,0,0,99,35274,6082,0,0,0,64.2,6069.4,2.0,2675.0,5.77,64.21,1.6128,default,hadoop_hdd
0.03,0.0,0.04,0.03,0.09,0.07,0.0,0.0,0.23,0.0,0.0,0.4,0.0,0.03,0.0,94.87,0.0,78.0,0.0,25.0,1.04,0.01,18.47,20.78,172.8,170.6,0.0,0.0,0.0,0.09192106666666668,0.40399999999999997,25.36,4.13,0.15,0.72,1.55,0.63,0,0,35,35209,5955,0,0,0,58.2,5934.6,4.0,2676.0,5.39,63.16,1.6128,default,hadoop_hdd
0.02,0.0,0.03,0.01,0.1,0.08,0.0,0.0,0.23000000000000004,0.0,0.0,0.4,0.0,0.02,0.0,91.67,0.0,48.0,0.0,12.0,0.56,0.01,7.04,8.16,66.2,67.4,0.0,0.0,0.0,0.06800042666666667,0.41700000000000004,24.18,3.51,0.1,0.7,1.54,0.64,0,0,46,34750,5301,0,0,0,29.4,5287.6,2.0,2675.0,4.96,62.11,1.6128,default,hadoop_hdd
0.02,0.0,0.03,0.02,0.09,0.06,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.01,0.0,88.89,0.0,36.0,0.0,6.0,0.16,0.0,3.64,4.38,35.0,35.6,0.0,0.0,0.0,0.06718122666666666,0.414,26.33,3.68,0.09,0.65,1.56,0.65,0,0,62,34535,5033,0,0,0,23.4,5029.8,2.0,2675.0,4.56,61.08,1.6384,default,hadoop_hdd
0.05,0.0,0.07,0.0,0.08,0.07,0.0,0.0,0.27,0.0,0.0,0.4,0.0,0.02,0.0,90.48,0.0,42.0,0.0,0.5,0.0,0.0,6.03,6.92,58.0,56.8,0.0,0.0,0.0,0.13666304,0.48200000000000004,31.4,4.37,0.11,0.75,1.28,0.62,0,0,26,34801,5501,0,0,0,33.8,5503.6,2.0,2676.0,4.35,60.1,1.6384,default,hadoop_hdd
0.01,0.0,0.03,0.01,0.1,0.05,0.0,0.0,0.19,0.0,0.0,1.6,0.0,0.07,0.0,91.11,0.0,45.5,0.0,21.12,1.36,0.03,4.54,5.27,43.6,43.6,0.0,0.0,0.0,0.050264746666666665,0.37200000000000005,23.27,3.32,0.08,0.5,1.85,0.69,0,0,206,34540,5038,0,0,0,18.6,5045.2,2.0,2675.0,4.0,59.1,1.6384,default,hadoop_hdd
0.03,0.0,0.04,0.02,0.09,0.08,0.0,0.0,0.24,0.0,0.0,6.6,0.0,0.28,0.0,90.62,0.0,42.79,0.0,17.7,2.0,0.12,5.38,6.34,51.2,52.0,0.0,0.0,0.0,0.08893781333333334,0.445,26.59,3.89,0.11,0.79,1.38,0.61,0,0,289,34655,5225,0,0,0,32.6,5241.0,2.0,2675.0,3.68,58.12,1.6384,default,hadoop_hdd
